NEWS_ID,COMPANY,TICKER,HEADLINE,SUMMARY,NEWS_DATE,SOURCE,SENTIMENT,CREATED_AT
107,MongoDB,MDB,MongoDB Stock Rockets 20% After Monster Q3 Earnings Beat,"MongoDB shares surged after reporting Q3 FY2025 revenue of $529M, up 22% YoY, exceeding guidance. Atlas grew 26% YoY with strong enterprise deals.",2024-12-10,Investors Business Daily,positive,2026-01-20 22:02:54.931
109,MongoDB,MDB,MongoDB Raises FY25 Guidance on Strong Q3 Performance,"Following Q3 beat, MongoDB raised FY25 revenue guidance to $1.97-1.98B. Management cited strong AI application momentum on the platform.",2024-12-10,Barrons,positive,2026-01-20 22:02:54.931
108,MongoDB,MDB,MongoDB CFO Michael Gordon to Depart After 10 Years,MongoDB announced that CFO Michael Gordon will leave after nearly 10 years. Gordon led the companys successful IPO. Search for replacement underway.,2024-12-09,MongoDB Investor Relations,neutral,2026-01-20 22:02:54.931
110,Elastic,ESTC,"Elastic Q2 FY2025 Beats Estimates, Gen AI Commitments Double",Elastic reported strong Q2 results with revenue up 18% YoY to $365M. Gen AI customer commitments almost doubled in dollar volume vs Q1.,2024-11-22,Reuters,positive,2026-01-20 22:02:54.931
112,Elastic,ESTC,Elastic Raises FY25 Guidance Following Strong Q2,"Elastic raised full-year revenue guidance to $1.451-1.457B after Q2 beat. Cloud revenue grew 25% YoY, now 45% of total revenue.",2024-11-22,Seeking Alpha,positive,2026-01-20 22:02:54.931
101,Snowflake,SNOW,Snowflake Stock Surges 18% on Strong Q3 Results and AI Momentum,"Snowflake shares jumped after reporting Q3 FY2025 results that beat expectations. Product revenue grew 29% YoY to $900M, driven by strong AI adoption with over 3,200 accounts using Cortex AI features.",2024-11-21,Investors Business Daily,positive,2026-01-20 22:02:54.931
103,Snowflake,SNOW,Snowflake Raises FY25 Guidance After Q3 Beat,"Following strong Q3 results, Snowflake raised full-year product revenue guidance to $3.43B, up from prior $3.36B guidance, citing AI momentum.",2024-11-21,CNBC,positive,2026-01-20 22:02:54.931
111,Elastic,ESTC,Elastic CFO Janesh Moorjani Departing After 7 Years,"Elastic announced CFO Janesh Moorjani is leaving. Eric Pringle, Group VP of Finance, appointed as Interim CFO effective December 14.",2024-11-21,Elastic Investor Relations,neutral,2026-01-20 22:02:54.931
102,Snowflake,SNOW,Snowflake Announces Anthropic Partnership for Enterprise AI,"Snowflake partnered with Anthropic to bring Claude AI models to Snowflake Cortex, giving enterprises more choices for building AI applications.",2024-11-20,Company Press Release,positive,2026-01-20 22:02:54.931
104,Datadog,DDOG,"Datadog Q3 Earnings Beat: Revenue Up 26%, AI Native Customers Growing","Datadog reported strong Q3 2024 results with revenue of $690M, up 26% YoY. AI native customers now represent 6% of ARR. Free cash flow margin reached 30%.",2024-11-08,CNBC,positive,2026-01-20 22:02:54.931
105,Datadog,DDOG,Datadog Raises Full Year Guidance After Strong Q3,"Following Q3 beat, Datadog raised FY24 revenue guidance to $2.62-2.63B. Management highlighted strong adoption of new products including LLM Observability.",2024-11-08,Reuters,positive,2026-01-20 22:02:54.931
106,Datadog,DDOG,Datadog Launches On-Call Product for Integrated Incident Management,"Datadog announced On-Call, a modern paging experience integrated directly into its observability platform, seeing strong early customer reception.",2024-11-07,Company Blog,positive,2026-01-20 22:02:54.931
113,Confluent,CFLT,Confluent Surpasses $1 Billion Revenue Run Rate,Confluent reported Q3 2024 results with subscription revenue up 27% to $240M. Confluent Cloud grew 42% to $130M. Company achieved positive operating margin.,2024-10-31,Company Press Release,positive,2026-01-20 22:02:54.931
114,Confluent,CFLT,"Confluent Q3 Beats Expectations, Raises Full Year Guidance",Confluent exceeded Q3 estimates and raised FY24 guidance. Management highlighted strong Flink adoption and expanding AI use cases driving demand.,2024-10-31,CNBC,positive,2026-01-20 22:02:54.931
115,Confluent,CFLT,OpenAI Expands Use of Confluent for Real-Time Data Streaming,"OpenAI has expanded their use of Confluents data streaming platform to help scale with increased platform usage, validating data streaming in AI.",2024-10-30,Confluent Current Conference,positive,2026-01-20 22:02:54.931
